UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL115032,0,3,10,6,3,9,0,0,0,28,0,0,3,10,12,4,0,0,0,40,42,51,102,163,224,256,71,9,0,913
UCL115033,7,11,18,30,22,15,4,0,0,107,9,4,14,14,15,7,0,0,0,59,123,164,408,583,509,332,88,9,0,2219
UCL115034,0,9,12,5,9,0,0,0,0,40,0,3,13,12,12,5,6,0,0,46,71,81,207,181,176,146,22,4,0,899
UCL115035,0,12,22,24,15,6,0,0,0,86,0,5,18,17,6,5,0,0,0,53,153,204,505,433,359,273,71,3,0,2002
UCL115036,0,0,13,3,13,5,0,0,0,34,0,4,5,11,4,4,9,0,0,39,96,78,192,190,294,278,65,9,0,1213
UCL115037,0,3,5,0,3,3,0,0,0,17,6,0,0,0,0,3,0,0,0,7,57,52,83,121,152,124,23,5,0,609
UCL115038,4,3,6,3,3,7,0,0,0,22,5,4,0,11,0,8,4,0,0,33,37,42,97,87,95,119,39,11,0,529
UCL115039,0,8,13,9,9,7,6,0,0,52,6,3,6,11,11,12,5,0,0,54,80,124,372,293,250,284,81,4,0,1486
UCL115040,7,9,5,8,18,9,0,0,0,54,0,0,9,4,6,7,3,0,0,32,59,80,171,137,181,129,39,5,0,799
UCL115041,8,0,10,4,3,16,5,0,0,45,0,11,15,6,18,12,7,0,0,69,52,77,238,164,159,183,67,18,6,955
UCL115042,0,0,4,4,0,3,4,0,0,22,0,0,6,9,4,0,0,0,3,29,49,54,153,142,145,140,47,5,3,747
UCL115043,0,4,10,7,4,0,0,0,0,21,3,3,4,12,3,5,4,0,3,35,42,51,165,129,150,158,60,7,4,767
UCL115044,0,3,8,5,4,9,5,0,0,24,7,3,6,10,11,4,3,0,0,47,38,52,180,136,146,150,58,6,0,768
UCL115045,0,0,0,6,0,0,5,0,0,16,0,0,4,4,4,5,0,0,0,16,22,37,76,56,87,83,29,3,0,392
UCL115046,4,0,9,3,8,0,0,0,0,23,0,3,16,7,10,4,5,0,0,33,47,53,184,167,181,124,26,0,0,784
UCL115047,4,0,7,8,15,8,0,0,0,47,6,0,5,3,7,0,5,0,0,23,50,73,131,142,164,192,56,12,0,825
UCL115048,0,0,8,6,5,9,5,0,0,38,0,3,10,8,9,10,4,0,0,51,74,99,264,239,291,329,68,12,0,1376
UCL115049,0,0,0,7,3,8,3,0,0,21,0,0,6,5,0,4,0,0,0,16,27,27,64,87,80,77,26,3,0,396
UCL115050,4,3,15,15,14,8,0,0,0,52,7,3,5,13,12,0,0,0,0,39,81,85,198,281,238,135,33,4,0,1055
UCL115051,5,0,10,4,11,0,0,0,0,25,0,0,7,3,9,7,3,0,0,30,47,25,104,140,147,182,48,0,0,690
UCL115052,0,4,5,3,6,0,0,0,0,26,0,5,6,5,0,3,0,0,0,21,47,56,138,138,146,124,26,7,0,686
UCL115053,0,0,0,0,10,7,0,0,0,21,0,0,0,4,3,8,4,0,0,17,17,18,52,60,85,87,27,7,0,357
UCL115054,3,7,3,7,4,0,0,0,0,27,0,5,0,5,0,6,6,0,0,26,37,57,70,110,126,113,33,0,0,547
UCL115055,0,7,10,3,5,10,11,0,0,54,3,0,4,3,6,13,0,0,0,31,68,78,136,150,183,178,57,8,0,848
UCL115056,4,10,8,10,8,13,3,0,0,56,0,8,8,11,14,16,6,0,5,67,71,74,161,186,261,268,91,16,4,1127
UCL115057,5,0,8,3,4,5,0,0,0,24,4,0,3,11,7,8,4,0,0,39,66,72,191,202,245,250,66,3,0,1098
UCL115058,0,0,3,9,3,6,0,0,0,20,0,0,7,4,6,5,0,0,0,17,35,33,62,82,101,136,39,6,0,506
UCL115059,0,3,4,5,8,3,0,0,0,22,5,4,4,3,8,6,6,4,0,33,45,33,98,104,133,161,71,18,0,665
UCL115060,5,13,21,8,12,4,3,0,0,65,6,17,15,18,11,3,0,0,0,68,259,285,339,299,198,115,21,0,0,1523
UCL115061,0,0,0,0,3,0,4,0,0,10,0,0,4,3,0,5,0,0,0,16,38,43,76,68,86,63,17,0,0,397
UCL115062,3,3,9,13,6,3,0,0,0,47,0,8,4,4,6,3,0,0,0,33,41,68,136,159,149,118,38,0,0,706
UCL115063,0,0,0,3,3,6,0,0,0,20,0,0,4,4,4,9,0,0,0,22,36,36,102,135,150,109,32,0,0,603
UCL115064,8,0,4,8,13,12,3,0,0,54,5,3,12,8,15,10,0,0,0,49,175,149,342,436,464,400,109,17,0,2083
UCL115065,4,3,7,5,5,6,3,5,0,40,4,3,12,11,5,4,0,0,0,45,52,57,170,155,178,175,67,7,0,856
UCL115066,3,14,37,14,12,11,0,0,0,93,3,8,10,12,10,3,6,0,0,56,84,130,335,269,240,221,35,0,0,1326
UCL115067,0,0,12,0,11,7,0,0,0,41,0,3,15,12,6,8,7,0,0,50,37,67,143,170,170,182,70,10,0,840
UCL115068,0,0,0,0,0,3,0,0,0,8,0,0,0,0,9,3,3,0,0,24,16,28,62,86,100,113,39,11,0,459
UCL115069,0,4,3,4,6,3,0,0,0,18,0,0,7,0,5,6,4,0,0,32,56,37,128,131,137,150,38,9,5,691
UCL115070,5,13,25,16,20,8,0,0,0,95,0,14,17,17,5,5,5,0,0,63,131,161,432,386,305,186,34,0,0,1632
UCL115071,6,3,10,10,3,3,3,0,0,42,0,0,8,5,8,4,5,0,0,31,43,61,186,173,155,150,56,7,7,835
UCL115072,0,0,3,5,7,4,0,0,0,24,4,0,3,3,3,5,0,0,0,21,67,47,92,147,180,161,35,0,0,730
UCL115073,6,8,11,9,5,3,0,0,0,28,7,0,4,5,3,8,0,0,0,34,52,71,171,162,137,156,51,13,0,813
UCL115074,0,0,0,6,4,5,0,0,0,26,4,0,3,6,4,6,4,0,0,32,42,68,147,142,145,160,53,10,0,775
UCL115075,0,0,0,3,5,0,0,0,0,11,0,0,0,3,0,0,3,0,0,16,30,19,38,52,78,87,31,3,0,336
UCL115076,3,5,3,9,5,9,0,0,0,29,4,5,7,4,3,12,0,3,0,36,36,51,126,117,117,138,67,4,0,656
